,time,mu_real,mu_imag
761,0.1522,-0.267104723074,-0.004057752356
762,0.1524,-0.267104052639,-0.00404062159328
763,0.1526,-0.267103387103,-0.00402345764592
764,0.1528,-0.26710272627,-0.00400626083453
765,0.153,-0.267102070136,-0.00398903186401
766,0.1532,-0.267101418571,-0.0039717712639
767,0.1534,-0.267100771804,-0.00395447994234
768,0.1536,-0.267100129825,-0.00393715809569
769,0.1538,-0.26709949241,-0.00391980631815
770,0.154,-0.26709885985,-0.00390242511954
771,0.1542,-0.267098232073,-0.00388501531253
772,0.1544,-0.267097609122,-0.00386757731865
773,0.1546,-0.267096990738,-0.00385011176608
774,0.1548,-0.267096377461,-0.00383261912907
775,0.155,-0.267095768941,-0.00381510016657
776,0.1552,-0.267095165143,-0.00379755531614
777,0.1554,-0.26709456602,-0.00377998511446
778,0.1556,-0.267093971815,-0.00376239032283
779,0.1558,-0.267093382344,-0.00374477140525
780,0.156,-0.267092797611,-0.00372712907589
781,0.1562,-0.267092217734,-0.00370946347507
782,0.1564,-0.267091642611,-0.00369177559765
783,0.1566,-0.267091072163,-0.00367406582921
784,0.1568,-0.267090506583,-0.00365633473116
785,0.157,-0.267089945748,-0.00363858294838
786,0.1572,-0.267089389672,-0.00362081108906
787,0.1574,-0.267088838333,-0.00360301989981
788,0.1576,-0.267088291993,-0.00358520960745
789,0.1578,-0.267087750369,-0.00356738108006
790,0.158,-0.26708721338,-0.00354953479451
791,0.1582,-0.267086681425,-0.00353167137777
792,0.1584,-0.267086154178,-0.00351379125846
793,0.1586,-0.267085631585,-0.00349589520659
794,0.1588,-0.26708511384,-0.00347798373522
795,0.159,-0.267084601127,-0.00346005753483
796,0.1592,-0.267084093117,-0.00344211725691
797,0.1594,-0.267083589794,-0.00342416315524
798,0.1596,-0.267083091371,-0.00340619606718
799,0.1598,-0.267082597803,-0.00338821646695
800,0.16,-0.267082108958,-0.00337022495415
801,0.1602,-0.267081624854,-0.00335222213301
802,0.1604,-0.267081145663,-0.00333420871984
803,0.1606,-0.267080671194,-0.0033161850668
804,0.1608,-0.267080201533,-0.00329815208307
805,0.161,-0.267079736739,-0.00328010992427
806,0.1612,-0.267079276693,-0.003262059485
807,0.1614,-0.26707882138,-0.00324400129801
808,0.1616,-0.267078370691,-0.00322593609396
